date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:30:31	0/0	---MC-	400	error ('Bad%20Request')	text/html	date:Wed,%2025%20Jan%202023%2013:30:29%20GMT	https://gtm.elementor.com/gtm.js?id=	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/gtm.elementor.com/gtm.b5445.delayed	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:31	3364/3364	---M--	200	added ('OK')	image/png	etag:%22625bef80-d24%22	https://elementor.com/marketing/wp-content/uploads/sites/5/2021/07/elementor-favicon-512.png	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/uploads/sites/5/2021/07/elementor-favicon-512.png	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:32	11775/11775	---MCZ	200	added ('OK')	text/css	etag:W/%226370f797-2dff%22	https://elementor.com/marketing/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/plugins/elementor/assets/css/widget-icon-list.min.css	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:33	79948/79948	---M--	200	added ('OK')	image/png	etag:%2260b5f2d5-1384c%22	https://elementor.com/marketing/wp-content/uploads/sites/5/2021/06/webcreators.png	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/uploads/sites/5/2021/06/webcreators.png	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:33	39791/39791	---M--	200	added ('OK')	image/jpeg	etag:%2260b8b402-9b6f%22	https://elementor.com/marketing/wp-content/uploads/sites/5/2021/06/full-hero-mobile.jpg	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/uploads/sites/5/2021/06/full-hero-mobile.jpg	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:33	167108/167108	---M--	200	added ('OK')	image/jpeg	etag:%2260b8e4d1-31ecf%22	https://elementor.com/marketing/wp-content/uploads/sites/5/2021/06/gary-2-scaled.jpg	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/uploads/sites/5/2021/06/gary-2-scaled.jpg	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:33	887769/887769	---M--	200	added ('OK')	image/png	etag:%2260d0a3c4-d8bee%22	https://elementor.com/marketing/wp-content/uploads/sites/5/2021/06/seth-for-vod-1.png	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/uploads/sites/5/2021/06/seth-for-vod-1.png	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:34	182057/182057	---M--	200	added ('OK')	image/jpeg	etag:%2260b8e483-35296%22	https://elementor.com/marketing/wp-content/uploads/sites/5/2021/06/swan-3-scaled.jpg	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/uploads/sites/5/2021/06/swan-3-scaled.jpg	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:34	229037/229037	---M--	200	added ('OK')	image/jpeg	etag:%2260b8e491-40d29%22	https://elementor.com/marketing/wp-content/uploads/sites/5/2021/06/ronit-4-scaled.jpg	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/uploads/sites/5/2021/06/ronit-4-scaled.jpg	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:34	36881/36881	---MCZ	200	added ('OK')	text/css	etag:W/%22637b3c68-9011%22	https://elementor.com/marketing/wp-content/plugins/elementor-pro/assets/css/widget-carousel.min.css	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/plugins/elementor-pro/assets/css/widget-carousel.min.css	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:34	24445/24445	---M--	200	added ('OK')	image/jpeg	etag:%2260b8bce5-5f7d%22	https://elementor.com/marketing/wp-content/uploads/sites/5/2021/06/gary-mobile-1.jpg	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/uploads/sites/5/2021/06/gary-mobile-1.jpg	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:34	83595/83595	---M--	200	added ('OK')	image/png	etag:%2260b8e4ca-146a0%22	https://elementor.com/marketing/wp-content/uploads/sites/5/2021/06/Seth-mobile.png	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/uploads/sites/5/2021/06/Seth-mobile.png	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:35	24198/24198	---M--	200	added ('OK')	image/jpeg	etag:%2260b8c7b5-5e86%22	https://elementor.com/marketing/wp-content/uploads/sites/5/2021/06/swan-mobile.jpg	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/uploads/sites/5/2021/06/swan-mobile.jpg	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:35	32446/32446	---M--	200	added ('OK')	image/jpeg	etag:%2260b8c81e-7ebe%22	https://elementor.com/marketing/wp-content/uploads/sites/5/2021/06/ronit-mobile.jpg	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/uploads/sites/5/2021/06/ronit-mobile.jpg	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:35	2769/2769	---M--	200	added ('OK')	image/png	etag:%2260bdc969-13de%22	https://elementor.com/marketing/wp-content/uploads/sites/5/2021/06/Vector.png	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/marketing/wp-content/uploads/sites/5/2021/06/Vector.png	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
20:30:35	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2263ce6a10-4d7%22	https://elementor.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/Users/fmett/source/repos/Website%20Projects/BW-Hangout-Invitation/elementor.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://elementor.com/pages/webcreators2021/?cxd=1251_422096&utm_source=elementor&utm_medium=affiliate&utm_campaign=1251&utm_content=cx&affid=1251)
